COUNTRY,ISO3,INFORM RISK,RISK CLASS,Rank,Lack of Reliability (*),HAZARD & E POSURE,Natural,Earthquake,Flood,Tsunami,Tropical Cyclone,Drought,Epidemic,Human,Projected Conflict Risk,Current Highly Violent Conflict Intensity,VULNERABILITY,Socio-Economic Vulnerability,Development & Deprivation,Inequality,Economic Dependency,Vulnerable Groups,Uprooted people,Health Conditions,Children U5,Recent Shocks,Food Security,Other Vulnerable Groups,LOCC,Institutional,DRR,Governance,Infrastructure,Communication,Physical infrastructure,Access to health care,Life Expectancy(2023),1955,1960,1965,1970,1975,1980,1985,1990,1995,2000,2005,2010,2015
Afghanistan,AFG,8.1,Very0High,4,2.8,8.9,6.8,9.7,7.2,0,0,8.9,7,10,10,10,8.5,7.8,8.5,8.7,5.6,9,10,2,4.4,10,7.2,7.1,7.1,7.3,6.3,8.2,6.9,6.3,6.5,8,65,29,31,33,36,38,40,44,48,52,54,57,60,62
Albania,ALB,3.1,Low,112,2.9,3.8,6.3,9.3,4.7,7.8,0,6.6,4.6,0.1,0.1,0,1.7,2,1.9,1.9,2.3,1.4,2.3,0.2,0.6,0,1,0.5,4.4,5.9,0,5.9,2.5,2.2,1.4,4,79,55,59,65,66,68,70,71,72,72,73,75,76,78
Algeria,DZA,3.6,Medium,91,2.2,3.6,4.7,8.8,5.2,4.6,0,2.4,3.4,2.2,3.1,0,2.9,2.5,3.2,3.2,0.2,3.2,5.3,0.3,1.2,0.1,0,0.4,4.4,5,3.5,6.4,3.8,3.1,4.1,4,77,43,45,47,49,51,55,62,66,67,69,72,74,75
Angola,AGO,4.6,Medium,48,1.7,2.7,3.1,0.1,5.1,0,0,3.7,6.9,2.2,3.2,0,5.1,5.8,8,6.9,0.1,4.3,4.7,4.7,4.9,0,5.1,3.9,6.9,6.3,5.2,7.3,7.4,6.5,7.9,8,61,31,33,34,36,38,40,41,41,42,45,50,56,60
Antigua and Barbuda,ATG,2.2,Low,150,6.2,2,3.7,5.2,0.1,0,8.4,0,3.5,0,0,0,1.5,2,2.4,0,1.2,0.9,0,0.1,0.5,0,5.2,1.8,3.7,5.4,5.4,5.3,1.6,0.9,0.7,3,77,59,61,63,65,67,68,70,71,72,73,74,75,76
Argentina,ARG,2.9,Low,121,3.7,2.4,4.1,6.7,6.5,0,0,4.6,4,0.2,0.3,0,2.8,1.7,1.1,4.4,0,3.8,6.1,0.3,0.6,0.3,0.9,0.5,3.6,4.8,3.8,5.8,2.1,1.4,3,2,77,63,65,65,66,67,69,70,71,72,73,74,75,76
Armenia,ARM,4.6,Medium,48,2.5,8.4,4.4,8.2,4.3,0,0,4.9,5.1,10,0.1,10,2.6,1.6,1.3,1.7,2,3.5,5.6,0.2,0.7,0,1.8,0.7,4.5,6.4,7.5,5.2,1.7,1.6,1.2,2,75,63,65,67,69,71,71,71,68,68,70,72,73,74
Australia,AUS,2.4,Low,141,3.4,2.9,4.8,0.2,5.3,7.2,4.8,6.4,2.2,0.4,0.5,0,2.2,0.5,0,1.8,0,3.7,6,0.1,0.3,0.3,0.8,0.4,2.1,2.4,2.4,2.3,1.8,1.9,3,0,83,69,70,71,71,72,74,75,76,78,79,80,81,82
Austria,AUT,1.9,Very0Low,160,4.5,1.5,2.5,4.2,5.5,0,0,1.9,1.7,0.4,0.5,0,3,0.3,0,1.1,0.1,5,7.7,0.1,0.3,0,0.4,0.2,1.5,2.1,2,2.2,0.8,1.8,0,1,82,67,68,70,70,71,72,73,75,76,78,79,80,81
Azerbaijan,AZE,5.8,High,27,6.4,8.5,4.8,8.8,4.9,0,0,5,5.3,10,4.7,10,5,2.7,2.9,4.3,0.6,6.7,9.2,0.5,1.3,0,1.4,0.8,4.6,6.2,0,6.2,2.5,1.6,2.7,3,73,58,60,62,63,64,64,64,65,65,66,67,70,72
