COUNTRY,ISO3,Earthquake,Flood,Tsunami,Tropical Cyclone,Drought,Natural,Projected Conflict Risk,Current Highly Violent Conflict Intensity,Human,HAZARD & EXPOSURE,Development & Deprivation,Inequality,Aid Dependency,Socio-Economic Vulnerability,Uprooted people,Health Conditions,Recent Shocks,Food Security,Other Vulnerable Groups,Vulnerable Groups,VULNERABILITY,DRR,Governance,Institutional,Communication,Physical infrastructure,Access to health care,Infrastructure,LACK OF COPING CAPACITY,Overall RISK,Rank
Austria,AUT,3.8,6.2,0,0,0.6,2.5,0,0,0,1.4,2.3,1.7,0,1.6,0,0,0,0.4,0.2,0.1,0.9,x,2.5,2.5,4.1,0.4,0,1.6,2,1.3,175
Italy,ITA,6.5,5.9,0,0,1.6,3.4,3.9,0,2.8,3.1,3.5,3.9,0,2.7,0,0.1,0,0.8,0.3,0.2,1.5,2.5,4.9,3.7,4,0,0,1.5,2.7,2.3,146
Spain,ESP,4.7,5.8,5.1,0,3.8,4.1,2.9,0,2,3.1,3.9,3.6,0,2.8,0,0.1,0,1.3,0.5,0.2,1.6,x,3.4,3.4,4,0.4,0,1.6,2.5,2.3,143
Switzerland,CHE,3.1,5.6,0,0,0.6,2.2,0.1,0,0.1,1.2,1.9,1.5,0,1.3,2.2,0,0,0.8,0.3,1.3,1.3,1.1,1.4,1.3,4.2,0,0,1.5,1.4,1.3,176
Australia,AUS,3.7,4.2,4.8,3.5,5.8,4.4,0.2,0,0.1,2.6,5.7,1.2,0,3.1,0,0,0,1.1,0.4,0.2,1.8,2.4,1.8,2.1,4,3.1,0,2.5,2.3,2.2,150
Sweden,SWE,0,3.8,0,0,0,0.9,0,0,0,0.5,1.5,1,0,1,0,0.1,0,1.4,0.5,0.3,0.6,2.8,1.2,2,3.6,0.5,1,1.5,1.7,0.8,185
Germany,DEU,2.7,7.5,0,0,0.6,2.8,0.2,0,0.2,1.6,1.7,0.8,0,1,3.7,0,0,0.8,0.3,2.2,1.6,2.8,2.1,2.5,4.4,0,1,1.7,2.1,1.7,166
Norway,NOR,0.9,0,0,0.1,0,0.2,0,0,0,0.1,1,0.4,0,0.6,0,0.1,0,1,0.3,0.2,0.4,2.5,1.3,1.9,3.4,2.7,1,2.2,2.1,0.5,186
Belgium,BEL,2.6,4.5,0,0,0,1.6,0.1,0,0.1,0.9,3,2.4,0,2.1,0,0.1,0,0.3,0.1,0.1,1.1,x,2.2,2.2,4.5,0,1,1.7,1.9,1.2,178
France,FRA,2.8,7.6,0,0.7,1.3,3.1,3.3,0,2.3,2.7,1.8,2.7,0,1.6,0,0.1,0,0.5,0.2,0.1,0.9,3.1,2.5,2.8,5,0,1,1.9,2.4,1.8,163
Iceland,ISL,5.5,0,0,0.2,0,1.4,0,0,0,0.8,1.9,1.8,0,1.4,0.9,0.1,0,1.2,0.5,0.7,1,x,2.1,2.1,3.4,3.1,1,2.5,2.3,1.2,179
Netherlands,NLD,1.8,6.1,0,0,0,2,0.1,0,0.1,1.1,1.5,1.6,0,1.1,0,0.1,0,1.2,0.5,0.2,0.7,2.1,1.6,1.8,3.4,0,1,1.4,1.6,1.1,182
Denmark,DNK,0,3,0,0,0.4,0.7,0,0,0,0.4,2,1.3,0,1.3,2.2,0.1,0,1,0.4,1.3,1.3,x,1,1,3.4,0,1,1.5,1.2,0.9,183
Ireland,IRL,0,3.8,0,4.6,0,1.9,0,0,0,1,2.5,2.9,0,2,1.4,0.1,0,0.2,0.1,0.8,1.4,x,2.4,2.4,3.8,0.3,1,1.7,2.1,1.4,174
Palestine,PSE,6.3,1.6,1.3,0,1.1,2.4,8.6,9,9,6.8,8.8,2.6,10,7.5,0,0.3,0.2,8.1,4.1,2.3,5.5,6.3,6.6,6.4,6.1,3,1,3.4,5.1,5.8,27
